season,lg,team,playoffs,abbreviation
2025,NBA,Atlanta Hawks,FALSE,ATL
2025,NBA,Boston Celtics,FALSE,BOS
2025,NBA,Brooklyn Nets,FALSE,BRK
2025,NBA,Charlotte Hornets,FALSE,CHO
2025,NBA,Chicago Bulls,FALSE,CHI
2025,NBA,Cleveland Cavaliers,FALSE,CLE
2025,NBA,Dallas Mavericks,FALSE,DAL
2025,NBA,Denver Nuggets,FALSE,DEN
2025,NBA,Detroit Pistons,FALSE,DET
2025,NBA,Golden State Warriors,FALSE,GSW
2025,NBA,Houston Rockets,FALSE,HOU
2025,NBA,Indiana Pacers,FALSE,IND
2025,NBA,Los Angeles Clippers,FALSE,LAC
2025,NBA,Los Angeles Lakers,FALSE,LAL
2025,NBA,Memphis Grizzlies,FALSE,MEM
2025,NBA,Miami Heat,FALSE,MIA
2025,NBA,Milwaukee Bucks,FALSE,MIL
2025,NBA,Minnesota Timberwolves,FALSE,MIN
2025,NBA,New Orleans Pelicans,FALSE,NOP
2025,NBA,New York Knicks,FALSE,NYK
2025,NBA,Oklahoma City Thunder,FALSE,OKC
2025,NBA,Orlando Magic,FALSE,ORL
2025,NBA,Philadelphia 76ers,FALSE,PHI
2025,NBA,Phoenix Suns,FALSE,PHO
2025,NBA,Portland Trail Blazers,FALSE,POR
2025,NBA,Sacramento Kings,FALSE,SAC
2025,NBA,San Antonio Spurs,FALSE,SAS
2025,NBA,Toronto Raptors,FALSE,TOR
2025,NBA,Utah Jazz,FALSE,UTA
2025,NBA,Washington Wizards,FALSE,WAS
